,text,_score,_pvalue
1676,thư_giãn,2.957798165137614,0.085464249702423
193,bẩn,2.7642661688710817,0.09639088006398568
1837,trừ,2.7642661688710817,0.09639088006398568
285,chung,2.7642661688710817,0.09639088006398568
1733,tiếc,2.7642661688710817,0.09639088006398568
1514,rẻ,2.7642661688710817,0.09639088006398568
347,chỉ_có,2.7642661688710817,0.09639088006398568
952,lung_tung,2.7047146401985116,0.10005198305439351
933,live,2.7047146401985116,0.10005198305439351
2043,xuyên_rừng,2.7047146401985116,0.10005198305439351
41,4pm,2.7047146401985116,0.10005198305439351
2276,ưng_ý,2.7047146401985116,0.10005198305439351
494,cứng,2.7047146401985116,0.10005198305439351
493,cứ_tưởng,2.7047146401985116,0.10005198305439351
922,lagoon,2.7047146401985116,0.10005198305439351
2045,xuất_hiện,2.7047146401985116,0.10005198305439351
2055,xã,2.7047146401985116,0.10005198305439351
928,leo,2.7047146401985116,0.10005198305439351
936,liên_tục,2.7047146401985116,0.10005198305439351
2051,xào,2.7047146401985116,0.10005198305439351
942,loa,2.7047146401985116,0.10005198305439351
943,load,2.7047146401985116,0.10005198305439351
2275,đừng,2.7047146401985116,0.10005198305439351
911,kể_cả,2.7047146401985116,0.10005198305439351
1811,trường_hợp,2.7047146401985116,0.10005198305439351
1808,trước_cửa,2.7047146401985116,0.10005198305439351
950,lui,2.7047146401985116,0.10005198305439351
951,lung_linh,2.7047146401985116,0.10005198305439351
479,cắt_khúc,2.7047146401985116,0.10005198305439351
1833,trở_lên,2.7047146401985116,0.10005198305439351
1835,trở_xuống,2.7047146401985116,0.10005198305439351
2041,xui,2.7047146401985116,0.10005198305439351
2036,xinh_tươi,2.7047146401985116,0.10005198305439351
525,dài_ngày,2.7047146401985116,0.10005198305439351
876,kinh_khủng,2.7047146401985116,0.10005198305439351
1951,vietnamese,2.7047146401985116,0.10005198305439351
522,duy_chỉ,2.7047146401985116,0.10005198305439351
885,kiểu_cách,2.7047146401985116,0.10005198305439351
887,kiệm,2.7047146401985116,0.10005198305439351
1474,quấy_rầy,2.7047146401985116,0.10005198305439351
518,drink,2.7047146401985116,0.10005198305439351
894,kèm_theo,2.7047146401985116,0.10005198305439351
1842,tuyến,2.7047146401985116,0.10005198305439351
898,kê,2.7047146401985116,0.10005198305439351
2040,xoong,2.7047146401985116,0.10005198305439351
513,diễn_tả,2.7047146401985116,0.10005198305439351
512,dinner,2.7047146401985116,0.10005198305439351
1840,trực_tiếp,2.7047146401985116,0.10005198305439351
510,design,2.7047146401985116,0.10005198305439351
507,dao_cạo,2.7047146401985116,0.10005198305439351
506,dang,2.7047146401985116,0.10005198305439351
1550,sáng,2.7047146401985116,0.10005198305439351
907,kế_tiếp,2.7047146401985116,0.10005198305439351
908,kếp,2.7047146401985116,0.10005198305439351
44,60,2.7047146401985116,0.10005198305439351
4,100k,2.7047146401985116,0.10005198305439351
963,làm_dâu,2.7047146401985116,0.10005198305439351
960,là_phải,2.7047146401985116,0.10005198305439351
55,alacarte,2.7047146401985116,0.10005198305439351
2073,y_hệt,2.7047146401985116,0.10005198305439351
2271,đỡ,2.7047146401985116,0.10005198305439351
1032,lặp_lại,2.7047146401985116,0.10005198305439351
1033,lặp_đi,2.7047146401985116,0.10005198305439351
1760,toàn_là,2.7047146401985116,0.10005198305439351
432,cúp,2.7047146401985116,0.10005198305439351
2079,yêu_thích,2.7047146401985116,0.10005198305439351
1036,lễ_kỷ_niệm,2.7047146401985116,0.10005198305439351
2081,ánh,2.7047146401985116,0.10005198305439351
54,ai_ngờ,2.7047146401985116,0.10005198305439351
2083,áo,2.7047146401985116,0.10005198305439351
1553,sáng_sớm,2.7047146401985116,0.10005198305439351
1805,trăm_họ,2.7047146401985116,0.10005198305439351
2218,đặc_biệt_khu,2.7047146401985116,0.10005198305439351
1057,mang_về,2.7047146401985116,0.10005198305439351
1463,quán_ăn_ngon,2.7047146401985116,0.10005198305439351
1061,minh,2.7047146401985116,0.10005198305439351
1743,tiền_lương,2.7047146401985116,0.10005198305439351
1453,quyết_định,2.7047146401985116,0.10005198305439351
1452,quyết_tâm,2.7047146401985116,0.10005198305439351
2089,âu_á,2.7047146401985116,0.10005198305439351
1065,miễn,2.7047146401985116,0.10005198305439351
410,cãi,2.7047146401985116,0.10005198305439351
1565,sôi,2.7047146401985116,0.10005198305439351
51,a_la,2.7047146401985116,0.10005198305439351
1019,lấy_được,2.7047146401985116,0.10005198305439351
442,cũng_đươc,2.7047146401985116,0.10005198305439351
1018,lấy_lại,2.7047146401985116,0.10005198305439351
1853,tác_phong,2.7047146401985116,0.10005198305439351
965,làm_mất,2.7047146401985116,0.10005198305439351
45,70k,2.7047146401985116,0.10005198305439351
1792,tráng_miệng,2.7047146401985116,0.10005198305439351
46,7g45,2.7047146401985116,0.10005198305439351
1787,trà,2.7047146401985116,0.10005198305439351
993,lò,2.7047146401985116,0.10005198305439351
463,cảm_tưởng,2.7047146401985116,0.10005198305439351
1778,trong_lòng,2.7047146401985116,0.10005198305439351
998,lông,2.7047146401985116,0.10005198305439351
2063,xắp,2.7047146401985116,0.10005198305439351
1773,tree,2.7047146401985116,0.10005198305439351
458,cải_tiến,2.7047146401985116,0.10005198305439351
456,cả_ăn,2.7047146401985116,0.10005198305439351
1011,lượt,2.7047146401985116,0.10005198305439351
453,cạnh_đó,2.7047146401985116,0.10005198305439351
2065,xỉu,2.7047146401985116,0.10005198305439351
1014,lạc,2.7047146401985116,0.10005198305439351
1551,sáng_mai,2.7047146401985116,0.10005198305439351
448,cơm_chiên,2.7047146401985116,0.10005198305439351
1552,sáng_ngon,2.7047146401985116,0.10005198305439351
49,9g,2.7047146401985116,0.10005198305439351
445,cơ_quan,2.7047146401985116,0.10005198305439351
1852,tàu,2.7047146401985116,0.10005198305439351
658,hellip,2.7047146401985116,0.10005198305439351
1475,quần,2.7047146401985116,0.10005198305439351
611,giống_nhau,2.7047146401985116,0.10005198305439351
623,gãy,2.7047146401985116,0.10005198305439351
1509,rò,2.7047146401985116,0.10005198305439351
